1,263A,WHITE SMILING FACE
2,263B,BLACK SMILING FACE
3,2665,BLACK HEART SUIT
4,2666,BLACK DIAMOND SUIT
5,2663,BLACK CLUB SUIT
6,2660,BLACK SPADE SUIT
7,2022,BULLET
8,25D8,INVERSE BULLET
9,25CB,WHITE CIRCLE
10,25D9,INVERSE WHITE CIRCLE
11,2642,MALE SIGN
12,2640,FEMALE SIGN
13,266A,EIGHTH NOTE
14,266B,BEAMED EIGHTH NOTES
15,263C,WHITE SUN WITH RAYS
16,25BA,BLACK RIGHT-POINTING POINTER
17,25C4,BLACK LEFT-POINTING POINTER
18,2195,UP DOWN ARROW
19,203C,DOUBLE EXCLAMATION MARK
20,00B6,PILCROW SIGN
21,00A7,SECTION SIGN
22,25AC,BLACK RECTANGLE
23,21A8,UP DOWN ARROW WITH BASE
24,2191,UPWARDS ARROW
25,2193,DOWNWARDS ARROW
26,2192,RIGHTWARDS ARROW
27,2190,LEFTWARDS ARROW
28,221F,RIGHT ANGLE
29,2194,LEFT RIGHT ARROW
30,25B2,BLACK UP-POINTING TRIANGLE
31,25BC,BLACK DOWN-POINTING TRIANGLE
32,0020,SPACE
33,0021,EXCLAMATION MARK
34,0022,QUOTATION MARK
35,0023,NUMBER SIGN
36,0024,DOLLAR SIGN
37,0025,PERCENT SIGN
38,0026,AMPERSAND
39,0027,APOSTROPHE
40,0028,LEFT PARENTHESIS
41,0029,RIGHT PARENTHESIS
42,002A,ASTERISK
43,002B,PLUS SIGN
44,002C,COMMA
45,002D,HYPHEN-MINUS
46,002E,FULL STOP
47,002F,SOLIDUS
48,0030,DIGIT ZERO
49,0031,DIGIT ONE
50,0032,DIGIT TWO
51,0033,DIGIT THREE
52,0034,DIGIT FOUR
53,0035,DIGIT FIVE
54,0036,DIGIT SIX
55,0037,DIGIT SEVEN
56,0038,DIGIT EIGHT
57,0039,DIGIT NINE
58,003A,COLON
59,003B,SEMICOLON
60,003C,LESS-THAN SIGN
61,003D,EQUALS SIGN
62,003E,GREATER-THAN SIGN
63,003F,QUESTION MARK
64,0040,COMMERCIAL AT
65,0041,LATIN CAPITAL LETTER A
66,0042,LATIN CAPITAL LETTER B
67,0043,LATIN CAPITAL LETTER C
68,0044,LATIN CAPITAL LETTER D
69,0045,LATIN CAPITAL LETTER E
70,0046,LATIN CAPITAL LETTER F
71,0047,LATIN CAPITAL LETTER G
72,0048,LATIN CAPITAL LETTER H
73,0049,LATIN CAPITAL LETTER I
74,004A,LATIN CAPITAL LETTER J
75,004B,LATIN CAPITAL LETTER K
76,004C,LATIN CAPITAL LETTER L
77,004D,LATIN CAPITAL LETTER M
78,004E,LATIN CAPITAL LETTER N
79,004F,LATIN CAPITAL LETTER O
80,0050,LATIN CAPITAL LETTER P
81,0051,LATIN CAPITAL LETTER Q
82,0052,LATIN CAPITAL LETTER R
83,0053,LATIN CAPITAL LETTER S
84,0054,LATIN CAPITAL LETTER T
85,0055,LATIN CAPITAL LETTER U
86,0056,LATIN CAPITAL LETTER V
87,0057,LATIN CAPITAL LETTER W
88,0058,LATIN CAPITAL LETTER X
89,0059,LATIN CAPITAL LETTER Y
90,005A,LATIN CAPITAL LETTER Z
91,005B,LEFT SQUARE BRACKET
92,005C,REVERSE SOLIDUS
93,005D,RIGHT SQUARE BRACKET
94,005E,CIRCUMFLEX ACCENT
95,005F,LOW LINE
96,0060,GRAVE ACCENT
97,0061,LATIN SMALL LETTER A
98,0062,LATIN SMALL LETTER B
99,0063,LATIN SMALL LETTER C
100,0064,LATIN SMALL LETTER D
101,0065,LATIN SMALL LETTER E
102,0066,LATIN SMALL LETTER F
103,0067,LATIN SMALL LETTER G
104,0068,LATIN SMALL LETTER H
105,0069,LATIN SMALL LETTER I
106,006A,LATIN SMALL LETTER J
107,006B,LATIN SMALL LETTER K
108,006C,LATIN SMALL LETTER L
109,006D,LATIN SMALL LETTER M
110,006E,LATIN SMALL LETTER N
111,006F,LATIN SMALL LETTER O
112,0070,LATIN SMALL LETTER P
113,0071,LATIN SMALL LETTER Q
114,0072,LATIN SMALL LETTER R
115,0073,LATIN SMALL LETTER S
116,0074,LATIN SMALL LETTER T
117,0075,LATIN SMALL LETTER U
118,0076,LATIN SMALL LETTER V
119,0077,LATIN SMALL LETTER W
120,0078,LATIN SMALL LETTER X
121,0079,LATIN SMALL LETTER Y
122,007A,LATIN SMALL LETTER Z
123,007B,LEFT CURLY BRACKET
124,007C,VERTICAL LINE
125,007D,RIGHT CURLY BRACKET
126,007E,TILDE
127,2302,HOUSE
128,00C7,LATIN CAPITAL LETTER C WITH CEDILLA
129,00FC,LATIN SMALL LETTER U WITH DIAERESIS
130,00E9,LATIN SMALL LETTER E WITH ACUTE
131,00E2,LATIN SMALL LETTER A WITH CIRCUMFLEX
132,00E4,LATIN SMALL LETTER A WITH DIAERESIS
133,00E0,LATIN SMALL LETTER A WITH GRAVE
134,00E5,LATIN SMALL LETTER A WITH RING ABOVE
135,00E7,LATIN SMALL LETTER C WITH CEDILLA
136,00EA,LATIN SMALL LETTER E WITH CIRCUMFLEX
137,00EB,LATIN SMALL LETTER E WITH DIAERESIS
138,00E8,LATIN SMALL LETTER E WITH GRAVE
139,00EF,LATIN SMALL LETTER I WITH DIAERESIS
140,00EE,LATIN SMALL LETTER I WITH CIRCUMFLEX
141,00EC,LATIN SMALL LETTER I WITH GRAVE
142,00C4,LATIN CAPITAL LETTER A WITH DIAERESIS
143,00C5,LATIN CAPITAL LETTER A WITH RING ABOVE
144,00C9,LATIN CAPITAL LETTER E WITH ACUTE
145,00E6,LATIN SMALL LETTER AE
146,00C6,LATIN CAPITAL LETTER AE
147,00F4,LATIN SMALL LETTER O WITH CIRCUMFLEX
148,00F6,LATIN SMALL LETTER O WITH DIAERESIS
149,00F2,LATIN SMALL LETTER O WITH GRAVE
150,00FB,LATIN SMALL LETTER U WITH CIRCUMFLEX
151,00F9,LATIN SMALL LETTER U WITH GRAVE
152,00FF,LATIN SMALL LETTER Y WITH DIAERESIS
153,00D6,LATIN CAPITAL LETTER O WITH DIAERESIS
154,00DC,LATIN CAPITAL LETTER U WITH DIAERESIS
155,00A2,CENT SIGN
156,00A3,POUND SIGN
157,00A5,YEN SIGN
158,20A7,PESETA SIGN
159,0192,LATIN SMALL LETTER F WITH HOOK
160,00E1,LATIN SMALL LETTER A WITH ACUTE
161,00ED,LATIN SMALL LETTER I WITH ACUTE
162,00F3,LATIN SMALL LETTER O WITH ACUTE
163,00FA,LATIN SMALL LETTER U WITH ACUTE
164,00F1,LATIN SMALL LETTER N WITH TILDE
165,00D1,LATIN CAPITAL LETTER N WITH TILDE
166,00AA,FEMININE ORDINAL INDICATOR
167,00BA,MASCULINE ORDINAL INDICATOR
168,00BF,INVERTED QUESTION MARK
169,2310,REVERSED NOT SIGN
170,00AC,NOT SIGN
171,00BD,VULGAR FRACTION ONE HALF
172,00BC,VULGAR FRACTION ONE QUARTER
173,00A1,INVERTED EXCLAMATION MARK
174,00AB,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
175,00BB,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
176,2591,LIGHT SHADE
177,2592,MEDIUM SHADE
178,2593,DARK SHADE
179,2502,BOX DRAWINGS LIGHT VERTICAL
180,2524,BOX DRAWINGS LIGHT VERTICAL AND LEFT
181,2561,BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
182,2562,BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
183,2556,BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
184,2555,BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
185,2563,BOX DRAWINGS DOUBLE VERTICAL AND LEFT
186,2551,BOX DRAWINGS DOUBLE VERTICAL
187,2557,BOX DRAWINGS DOUBLE DOWN AND LEFT
188,255D,BOX DRAWINGS DOUBLE UP AND LEFT
189,255C,BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
190,255B,BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
191,2510,BOX DRAWINGS LIGHT DOWN AND LEFT
192,2514,BOX DRAWINGS LIGHT UP AND RIGHT
193,2534,BOX DRAWINGS LIGHT UP AND HORIZONTAL
194,252C,BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
195,251C,BOX DRAWINGS LIGHT VERTICAL AND RIGHT
196,2500,BOX DRAWINGS LIGHT HORIZONTAL
197,253C,BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
198,255E,BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
199,255F,BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
200,255A,BOX DRAWINGS DOUBLE UP AND RIGHT
201,2554,BOX DRAWINGS DOUBLE DOWN AND RIGHT
202,2569,BOX DRAWINGS DOUBLE UP AND HORIZONTAL
203,2566,BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
204,2560,BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
205,2550,BOX DRAWINGS DOUBLE HORIZONTAL
206,256C,BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
207,2567,BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
208,2568,BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
209,2564,BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
210,2565,BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
211,2559,BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
212,2558,BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
213,2552,BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
214,2553,BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
215,256B,BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
216,256A,BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
217,2518,BOX DRAWINGS LIGHT UP AND LEFT
218,250C,BOX DRAWINGS LIGHT DOWN AND RIGHT
219,2588,FULL BLOCK
220,2584,LOWER HALF BLOCK
221,258C,LEFT HALF BLOCK
222,2590,RIGHT HALF BLOCK
223,2580,UPPER HALF BLOCK
224,03B1,GREEK SMALL LETTER ALPHA
225,00DF,LATIN SMALL LETTER SHARP S
226,0393,GREEK CAPITAL LETTER GAMMA
227,03C0,GREEK SMALL LETTER PI
228,03A3,GREEK CAPITAL LETTER SIGMA
229,03C3,GREEK SMALL LETTER SIGMA
230,00B5,MICRO SIGN
231,03C4,GREEK SMALL LETTER TAU
232,03A6,GREEK CAPITAL LETTER PHI
233,0398,GREEK CAPITAL LETTER THETA
234,03A9,GREEK CAPITAL LETTER OMEGA
235,03B4,GREEK SMALL LETTER DELTA
236,221E,INFINITY
237,03C6,GREEK SMALL LETTER PHI
238,03B5,GREEK SMALL LETTER EPSILON
239,2229,INTERSECTION
240,2261,IDENTICAL TO
241,00B1,PLUS-MINUS SIGN
242,2265,GREATER-THAN OR EQUAL TO
243,2264,LESS-THAN OR EQUAL TO
244,2320,TOP HALF INTEGRAL
245,2321,BOTTOM HALF INTEGRAL
246,00F7,DIVISION SIGN
247,2248,ALMOST EQUAL TO
248,00B0,DEGREE SIGN
249,2219,BULLET OPERATOR
250,00B7,MIDDLE DOT
251,221A,SQUARE ROOT
252,207F,SUPERSCRIPT LATIN SMALL LETTER N
253,00B2,SUPERSCRIPT TWO
254,25A0,BLACK SQUARE
255,00A0,NO-BREAK SPACE
